,metric,method,truncation_mode,level,k,silhouette,DBscore
354,correlation,weighted,level,3,10,0.10168376347763751,1.286776957503225
355,correlation,weighted,level,4,6,0.1469023540824834,1.2830950323034058
356,correlation,weighted,level,4,7,0.10929216862895254,1.2737904052431406
357,correlation,weighted,level,4,8,0.10870199676194058,1.1650810645836378
358,correlation,weighted,level,4,9,0.10572333394556435,1.263413656763709
359,correlation,weighted,level,4,10,0.10168376347763751,1.286776957503225
360,cosine,complete,,2,6,0.3245102379544462,1.5817145081626922
361,cosine,complete,,2,7,0.3220939894766148,1.5756532002057304
362,cosine,complete,,2,8,0.3109457904767061,1.6748006851980617
363,cosine,complete,,2,9,0.33788401315933186,1.6129800329240391
364,cosine,complete,,2,10,0.3362353474855458,1.6932411047831786
365,cosine,complete,,3,6,0.3245102379544462,1.5817145081626922
366,cosine,complete,,3,7,0.3220939894766148,1.5756532002057304
367,cosine,complete,,3,8,0.3109457904767061,1.6748006851980617
368,cosine,complete,,3,9,0.33788401315933186,1.6129800329240391
369,cosine,complete,,3,10,0.3362353474855458,1.6932411047831786
370,cosine,complete,,4,6,0.3245102379544462,1.5817145081626922
371,cosine,complete,,4,7,0.3220939894766148,1.5756532002057304
372,cosine,complete,,4,8,0.3109457904767061,1.6748006851980617
373,cosine,complete,,4,9,0.33788401315933186,1.6129800329240391
374,cosine,complete,,4,10,0.3362353474855458,1.6932411047831786
375,cosine,complete,lastp,2,6,0.3245102379544462,1.5817145081626922
376,cosine,complete,lastp,2,7,0.3220939894766148,1.5756532002057304
377,cosine,complete,lastp,2,8,0.3109457904767061,1.6748006851980617
378,cosine,complete,lastp,2,9,0.33788401315933186,1.6129800329240391
379,cosine,complete,lastp,2,10,0.3362353474855458,1.6932411047831786
380,cosine,complete,lastp,3,6,0.3245102379544462,1.5817145081626922
381,cosine,complete,lastp,3,7,0.3220939894766148,1.5756532002057304
382,cosine,complete,lastp,3,8,0.3109457904767061,1.6748006851980617
383,cosine,complete,lastp,3,9,0.33788401315933186,1.6129800329240391
384,cosine,complete,lastp,3,10,0.3362353474855458,1.6932411047831786
385,cosine,complete,lastp,4,6,0.3245102379544462,1.5817145081626922
386,cosine,complete,lastp,4,7,0.3220939894766148,1.5756532002057304
387,cosine,complete,lastp,4,8,0.3109457904767061,1.6748006851980617
